Việt ngữ,Pháp ngữ,Hán ngữ,Giải nghĩa
đề-huề,aller la main dans la main,提攜,Dắt-díu nhau; thuận-hoà nhau
đề-mục,"titre d'un livre, d'un chapitre",題目,Đầu bài.
đế-quốc-chủ-nghĩa,impérialisme,帝國主義,Là chủ-nghĩa đi chiếm lấy những nước khác để làm cho nước mình thành nước cực lớn.
đề-xướng,"susciter (un courant d'opinion,...)",提唱,Khởi ra một điều gì mới lạ để bắt đầu làm.
địa-chất-học,géologie,地質學,Học về cái vỏ địa-cầu.
địa-danh,nom de terre; nom géographique,地名,Tên các phần đất.
địa-phương,"région, régional",地方,"Các địa-hạt trong một nước (như trong một nước mỗi một tỉnh, mỗi một vùng, là một địa-phương)."
địa-vị,"place, rôle",地位,"Chỗ ngôi thứ của một người hay là một nước, đứng về hàng nào."
di-dịch,changer; déplacer,移易,"Dời đổi, dời chỗ này ra chỗ khác, đổi cái nọ cái kia."
di-địch,"peuplades barbares, incultes",夷狄,"Rợ mọi mường mán, những dân chưa có khai-hoá."
điềm-nhiên,naturellement; avec indifférence,恬然,"Yên-lặng, điềm-tĩnh, không hay nóng-nẩy, sốt-sắng."
điển-chương,institutions politiques,典章,"Lề lối, phép tắc thuộc về chính-trị."
điển-chương,lois et règlements,典章,"Phép tắc, điều-lệ trong một nước."
điển-cố,allusion à un fait historique,典故,Điển tích cũ.
diễn-đài,chaire (où l'on professe),演臺,"Đài cao để đứng đấy mà diễn-thuyết, dậy học."
diễn-đàn,tribune,演壇,"Nơi công-đồng để cho người ta đến mà diễn-thuyết, nghị-luận."
diễn-kịch,jouer sur la scène; par extension: théâtre,演劇,"Ra vai tuồng, hát tuồng hát chèo. Dùng rộng nghĩa là nghề tuồng."
diện-mạo,"figure, physionomie",面貌,"Dáng mặt, hình dáng mặt mũi người ta."
điền-phu,travailleur des champs; laboureur,田夫,"Người cày ruộng, kẻ đi làm ngoài đồng."
điển-tịch,"vieux livres, ouvrages anciens",典籍,Sách vở cũ.
điện-trì,pile électrique,電池,"Ao điện, tức là cái điện-trụ chứa những kẽm, đồng và nước cường-toan để sinh ra điện."
điền-viên,vie champêtre,田園,"Vườn ruộng, nơi thú nhà quê, cày cấy giồng dọt."
điều-độ,"arranger, ordonner",調度,"Điều-hoà cho có chừng độ, bố-trí đâu ra đấy cho có thứ lớp không lộn-xộn."
điều-hoà,combiner; concilier,調和,Hoà-hợp hai cái lại cho đều nhau.
điều-hoà-chính-đảng,concilier les partis politiques,調和政黨,Hoà-hợp các đảng chính-trị trong nước.
điêu-khắc,sculpture,彫刻,Nghề trạm khắc.
điêu-khắc-học,la sculpture,雕刻學,Môn học chạm trổ cho thật khéo.
điều-ước,traité,條約,"Nhời ước đặt thành điều, của hai nước ký với nhau."
di-hương,"un reste de parfum; ce qui subsiste d'une beauté ancienne, d'un charme passé; traces de la personne aimée",遺香,Hương thừa sót lại.
dị-nghị,"contradiction, objection; avis, opinion contraire",異議,"Nhời bàn khác, bàn trái lại; chấp cái ý-kiến riêng mà chủ một lời bàn khác với chúng."
đình-loan,litt. arrêter le char impérial; arrêt fait par l'empereur en un lieu au cours d'un voyage,停鸞,"Dừng xe loan, khi vua ngự đi chơi nghỉ lại đâu."
định-mạng,la destinée; ce qui est fixé par la destinée,定命,Vận-mạng nhất-định.
định-nghĩa,"déterminer le sens, la signification exacte; définition d'un terme",定義,Giải-thích ra cái nghĩa nhất-định như thế.
đình-thí,concours de doctorat (ayant lieu dans la cour même du palais impérial),庭試,"Thi đình, lệ ta các ông cử-nhân vào thi trong kinh đô Hội rồi vào thi Đình để lấy đỗ Tiến-sĩ."
đình-vi,litt. cour et appartements réservés; appartements privés (des parents),庭圍,"Trong nhà, trong chỗ buồng the, nói về chỗ cha mẹ ở."
dị-thường,"extraordinaire; bizarre, étrange",異常,"Khác thường, người lạ, việc lạ vật lạ."
di-tiếu,"laisser un nom, un souvenir qui sera la risée de ceux qui viendront après nous",貽笑,"Để tiếng cười lại, làm truyện gì xấu đề cho người ta chê cười được về sau."
di-truyền,légué par le passé; hérédité,遺傳,Đời trước truyền đề lại cho đời sau.
doanh-nghiệp,"syndicat, trust, cartel; exercice d'un métier",營業,"Doanh-nghiệp là những người làm nghề nghiệp, người buôn bán. Doanh-nghiệp-đồng-minh là hội những nhà buôn bán, nhà làm nghề để giữ cùng chiếm lấy lợi-quyền riêng cho mình; sự làm nghề để sinh-nhai."
đoản-luật,poésie courte; quatrain classique,短律,"Thơ luật ngắn, hoặc gọi là thơ tứ-tuyệt."
đoàn-luyện,"forger; exercer, perfectionner",鍛鍊,"Nung nấu, luyện tập, chắt lọc, cho nó tốt hơn lên."
đoan-nghê,"commencement, début; germe; bout d'une affaire",端倪,"Mảnh mối, việc gì hở ra một tí cho người ta biết mảnh mối."
đoàn-thể,"corps, association",團體,"Gồm người cùng một nghề, một ý, một chủ-nghĩa."
đoản-thiên-tiểu-thuyết,"conte, nouvelle",短篇小說,Lối chuyện tiểu-thuyết làm ngắn độ một hai thiên.
đoạn-trường,litt. avoir les entrailles rompues; au figuré: éprouver un profond chagrin,斷腸,"Nghĩa đen là đứt ruột, nói bóng là buồn rầu thương xót."
độc-đoán,"dogmatisme, dogmatique",獨斷,"Quyết-đoán một mình. Về triết-học thì chỉ các môn học quyết-đoán tự cho mình là phải, không để người ta được nghi ngờ nữa."
đốc-suất,"diriger, surveiller, commander",督率,Coi sóc bảo-ban người ta làm công việc.
độc-trùng,insectes venimeux; microbes nuisibles,毒蟲,"Con sâu độc, những loài sâu có độc làm hại được giống khác."
đồ-địa,destruction,塗地,Phá nát ra bùn ra đất.
do-dự,"hésiter, hésitation",猶豫,"Dùng dằng, hồ nghi không quyết hẳn. Con Do là loài thú, giống loài hồ, tính hay sợ hãi nghi ngờ, nên mượn mà nói ví như người hay hồ nghi không quả quyết."
đồ-hoạ-học,la peinture,圖畫學,"Môn học vẽ hoạ địa-đồ, hoạ truyền-thần."
đối-đãi,façon d'agir envers quelqu'un; traiter,對待,"Hai sự gì đối nhau, hay là hai người cư-xử với nhau."
đối-phó,"répondre (à un but, à une action, etc.); faire face a; pourvoir a...",對付,"Nhân một việc gì dùng cách đối-đáp, đối-đãi lại việc ấy; đối đãi với một sự gì, một việc gì xẩy ra; đối với người ấy hay là việc ấy thời phải xử cách như thế, làm như thế."
đồng-chí,ceux qui poursuivent le même but que nous,同志,"Người cùng một bụng với mình, cùng định làm một việc."
động-cơ,moteur,動機,Cơ-quan dùng để vận-động máy.
đồng-hoá,assimilation,同化,"Hoá theo mình, hoá cho giống mình."
đồng-khoa,"de la même catégorie; semblable, égal",同科,"Cùng một khoa, nghĩa là hai đằng bằng nhau cùng như nhau."
đồng-sinh cộng-tồn,vivre ensemble; coexister,同生共存,"Cùng sống cùng còn, với cùng nhau mãi mãi được."
động-thuỷ-học,hydraulique,動水學,Sự học về sức truyền động của nước.
đồng-văn,"de même langue, de même culture",同文,Cùng chung chữ với nhau như nước ta với nước Tầu.
đôn-hậu,franc et honnête,敦厚,"Thuần-hậu, chất-thực."
Do-thái,"juifs, hébreux, israélites",猶太,"Tiếng tầu dịch tiếng Judée. Do-thái chỉ chung là người Juifs, Hébreux, Israélites."
đô-thị,"ville capitale, chef-lieu d'un pays, grande ville",都市,"Chỗ đô-hội thành-thị, phố xá buôn bán, người ta tụ họp đông đúc."
đô-thị-phiền-hoa,grande ville,都市繁華,"Một nơi thành phố họp đông người, đua nhau sự xa hoa."
đồ-thư-quán,dépôt de livres; grande bibliothèque,圖書館,Nhà chứa sách để cho ai muốn đến xem thì xem.
dự-bị,préparer; prendre des mesures en vue de...,預備,"Dự trước để phòng sau có truyện như thế, dự-tính trước."
dự-bị (quân),"réserve, troupes de réserve",預備軍,"Quân để dành, lâm-thời mới dùng đến."
dự-bị ban,cours préparatoire; école préparatoire,預備班,Lớp học dự để rồi lên lớp trên.
dục-vọng,"désir, espérance; ambition, désir",欲望,"Lòng tham muốn mong mỏi cho được; mong muốn, lòng muốn lòng mong."
dư-đồ,carte d'un pays; géographie d'un pays,輿圖,"Địa-đồ của một nước; hình-thế, bờ-cõi một nước."
dự-đoán,"préjuger, pressentir; pronostiquer; prévoir",預斷,Đoán trước mà biết được việc sau.
du-học,aller étudier à l'étranger,遊學,Đi học ở phương khác.
du-lịch,voyager,遊歷,Đi chơi trải khắp mọi nơi.
dư-luận,opinion (du peuple),輿論,"Nhời bàn chung, ý kiến của nhiều người, của cả bàn-dân."
dụng-công,faire des efforts; s'efforcer,用功,Cố công mà làm việc gì.
dung-hợp,fusion,融合,"Hoà-hợp lẫn nhau (hai thứ gì, hoặc ý-kiến hai người nào cùng họp làm một)."
dung-tích,"contenance d'un objet, sa capacité",容積,Cái phần đựng được của một vật gì.
dư-niên,ce qui reste d'une vie inutile,餘年,"Năm thừa, người đã nhơn tuổi ngẫm cái đời mình không còn làm gì được nữa, còn sống năm nào là thừa."
dược-học,pharmacie; étude des médicaments; pharmacopée,藥學,"Học tính-chất các thứ thuốc, cùng cách chế thuốc; môn học nghiên-cứu những tính-chất các thứ làm thuốc (chữa bệnh) được."
đương-chức,en fonctions,當職,Đương giữ chức việc nhà nước.
dương-danh-hiển-thân,se faire un nom illustre dont la gloire rejaillit sur ses parents,揚名顯身,Làm nên danh-giá để tiếng tốt cho cha mẹ.
đương-đạo,hommes au pouvoir,當道,"Chỉ những người đương làm quan, có quyền thế trong nước."
đương-đồ,hommes au pouvoir,當途,"Những người đang cầm quyền chính làm quan bây giờ, cũng như đương-đạo 當道."
đường-luật,métrique des đường; poésie composée suivant la métrique inventée sous la dynastie des đường,唐律,"Là lối thơ ngũ ngôn hay thất ngôn, phải làm theo luật phép bắt đầu từ nhà Đường, nên gọi là Đường luật."
đương-sự,les parties (dans une action judiciaire),當事,Người có việc đương lúc ấy. Chữ luật chỉ người có việc lên tòa án.
đương-thời,"de ce temps, contemporains",當時,"Lúc bấy giờ, (lời nói lúc sau mà truy lại lúc trước."
đương-tuyển,candidat a une élection,當選,"Người ra chịu người ta kén chọn, bầu cử để làm việc chức gì."
dự-toán,"calculer d'avance; faire des prévisions; établir le budget, budget",預算,"Tính trước, như sổ « dự-toán » của nhà nước là sổ tính sẵn những khoản thu vào chi ra năm sau (làm từ năm trước)."
duyên-cách,"changement, modification",沿革,"Cải-cách, biến-đổi dần-dần đời nọ sang đời kia."
duy-kỷ-chủ-nghĩa,égotisme,惟己主義,Chủ-nghĩa vị mình hơn người.
duy-tâm-chủ-nghĩa,idéalisme,惟心主義,"Chủ-nghĩa trọng sự vô-hình, sự thuộc về tinh-thần, về tâm-tính."
duy-tha-chủ-nghĩa,altruisme,惟他主義,Chủ-nghĩa vị người hơn mình.
duy-trì,"conserver, retenir, sauvegarder, sauver",維持,"Gin giữ, cứu vớt cho khỏi đến bại hoại."
duy-trì-trật-tự,"maintenir l'ordre, la sécurité",維持秩序,"Giữ gìn cho có thứ bậc, cho được yên ổn."
duy-vật chủ-nghĩa,matérialisme,惟物主義,"Chủ-nghĩa trọng sự hữu-hình, sự thuộc về vật chất, về thực sự."
gia-chính,economie domestique,家政,Công việc trong nhà thuộc về người đàn-bà coi sóc.
giác-quan,sens (les cinq),覺官,Cơ-quan dùng để cảm-giác.
giải-phóng,"libérer, affranchir",解放,Cởi mở ra cho được thoát khỏi.
giải-quyết,"résoudre une difficulté, un problème",解決,"Định xong một sự gì khó, một cái vấn-đề; giải gỡ đầu mối ra cho quyết định xong đi; cái nghĩa gì còn nghi giải ra cho chắc rằng thế là đích-xác, hoặc cái việc gì khó-khăn tính được cho xong, khỏi lôi-thôi nữa."
giải-thích,"expliquer, commenter",解釋,"Giải ra, thích ra, cắt nghĩa thích rõ ra cho minh-bạch."
giám-đốc,diriger. directeur,監督,Xem xét coi sóc.
giám-giới,servir d'exemple,鑑戒,"Điều hay để làm gương về sau, điều dở cũng để làm răn về sau."
gia-miện-lễ,couronnement (cérémonie du),加冕禮,"Lễ vua lên ngôi. Các vua Âu-châu khi lên ngôi có làm cái lễ đặt mũ lên đầu, nên gọi là gia-miện, nghĩa là đề mũ."
giản-dị,"simple, facile",簡易,"Giản-lược dễ-giãi, không phiền-phức tế-toái."
giá-ngạch,"tarif (des marchandises, etc...)",價額,Định-ngạch những giá hàng hoá.
giảng-cầu,"etudier une doctrine; expliquer une théorie; chercher à connaître, à afprofondir; chercher a comprendre une question, approfondir une science",講求,Giảng bàn tìm kiếm một cái nhẽ gì hay là một cái học-thuyết nào; chủ ý nghiên-cứu một sự học gì.
giang-hồ,"homme libre, indépendant, qui ne peut pas s'astreindre à une besogne déterminée; aventurier",江湖,"Rong ruổi chơi bời nay đây mai đó, người nhàn tản hay đi chơi chốn này chốn khác."
giảng-hoà,négocier la paix.,講和,"Bàn về việc hoà, thôi chiến."
giáng-sắc,promulguer un édit,降勅,Vua ban tờ sắc xuống cho các quan.
giang-sơn,fleuves et montagnes; pays natal; géographie d'un pays,江山,"Sông núi, dùng chỉ một đất nước, quê hương."
giản-sách,les livres,簡冊,Sách vở.
gian-tân,"malheur, adversité",艱辛,Cảnh hiểm nghèo nhiều nỗi cay đắng.
gián-tiếp,"indirect; d'une manière indirecte, indirectement",間接,"Nhân có một cái sen ở giữa mà hai cái kia mới liên-tiếp nhau, như người này muốn nói truyện với người kia mà không đến nơi cậy một người khác đến nói thời người đến nói ấy là người gián-tiếp (người ở giữa). Như việc này làm ra được ngay cái lợi này mà gián-tiếp cái lợi gì khác nữa."
gian-truân,"malheur, adversité; difficultés de la vie",艱屯,"Bước hoạn-nạn, lúc nguy-hiểm, mắc vận truân kiền."
giáo-chủ,fondateur de religion,教主,"Ông chúa một cái tôn-giáo nào, người xướng lập nên một cái đạo nào như đức Gia-Tô (Jésus Christ), đức Thích-ca (Bouddha)."
giao-du,entretenir des relations; relations (entre amis),交遊,Chơi bời giao tiếp với mọi người; kết bạn chơi-bời với nhau.
giáo-dục,education; instruction,教育,Sự dạy-dỗ mở-mang cho dân.
giáo-dục chuyên-khoa,science de l'éducation (considérée comme une spécialité),教育專科,Khoa chuyên học về sự dạy dỗ.
giáo-đường,maison de culte; église,教堂,Nhà thờ của một đạo nào.
giao-hiếu,relations amicales entre deux pays,交好,"Chơi bời với nhau tử-tế, giao kết với nhau, hai nước chơi thân nhau."
giáo-hoàng,pape,教皇,"Người làm đầu một môn đạo. Bên Âu-châu chỉ riêng là ông chúa-tể đạo Thiên-chúa ở La-mã, tức những bổn-đạo bên nước ta gọi là đức thánh Pha-pha."
giáo-hội,eglise,教會,Các giáo-đồ trong một đạo họp nhau lại thành đoàn-thể. Thường là chỉ đạo Gia-tô.
giáo-khoa (sách),"manuel scolaire, livre classique, ouvrage didactique",教科書,Sách dùng để dậy học.
giáo-khoa-thư,"livre de classe, livre scolaire; manuel",教科書,Sách dùng trong nhà trường để dạy học-trò.
giáo-lý,dogme,教理,Các lễ thuộc về đạo giáo.
giảo-quyệt,"astucieux, perfide; machiavélique",狡譎,Gian-giảo trí-trá.
giao-tế,relations sociales; relations mondaines,交際,"Sự giao-thiệp, sự đi lại, chơi bời trong xã-hội; khoảng giữa hai đàng giao tiếp với nhau, như là người này giao tiếp với người kia, nước nọ giao tiếp với nước kia; sự giao-tiếp với nhau."
giao-tình,amitié,交情,Tình bạn hữu chơi-bời giao-kết với nhau.
gia-quyến,famille,家眷,"Người trong một nhà một họ; người nhà, vợ con."
giả-sử,si; admettons que...,假使,"Ví khiến, nếu, là nhời nói phỏng thử."
gia-tộc,la famille,家族,"Trong một nhà, trong một dòng họ."
giá-trị,"prix, valeur, mérite",價值,Giá đáng của một vật gì. Nói bóng thì chỉ cái phẩm-cách của người ta.
giới-nghiêm,"se montrer sévère, puriste; retenir, empêcher",戒嚴,"Lấy cách nghiêm mà dăn dậy, ngăn cấm sự gì."
giới-thiệu,présenter (une personne à une autre),介紹,Đứng giữa dẫn trình một người cho người khác.
hắc-ám,obscur ; obscurantisme,黑暗,"Tối-tăm, mờ-ám, không phân minh. Dùng nghĩa riêng thì chỉ cái chủ-nghĩa không muốn khai-hoá cho dân."
hạc-cầm,"la grue et la guitare (allusion à un fait historique chinois, symbole de la vie du mandarin lettré)",鶴琴,"Triệu-Biện nhà Tống, khi đi làm quan, chỉ đem một con hạc và một cái đàn đi theo. Chỉ cái cảnh người làm quan phong-nhã."
hài-kịch,vaudeville,諧劇,"Một kịch-bản làm trò khôi hài, để cho buồn cười."
Hải-nha hoà-bình-hội,"conférence internationale de la paix de La Haye, tribunal de La Haye",海牙和平會,Hội vạn-quốc họp ở thành Hải-nha (Kinh-đô nước Hà-lan) để giữ cuộc hoà-bình trong thế-giới cùng phân-xử những việc tranh-cạnh của các nước.
hải-nội chư quân-tử,les hommes cultivés; l'élite du pays,海內諸君子,"Các bậc quân-tử trong nước, các người học-hành thông-thái có danh-giá ở trong một xứ, trong đời."
hải-sơn,"grand, vaste (comme une montagne, comme la mer)",海山,"Bể núi, dùng để ví cái công-đức cao dày, dùng để ví cái ân-tình sâu như bể cao như núi, có chỗ dùng để nói đường xá xa-xôi cách núi cách bể."
hạm-đội,"escadre, flotte",艦隊,Đội tàu chiến.
hàm-dưỡng,entretenir la pureté de son cœur,涵養,"Nuôi nấng tâm-hồn. Người ta trong lòng trong-sạch, không sự hiềm giận gì, gọi là hàm-dưỡng."
hàm-hồ,vague; qui manque de précision,含糊,Lúng-búng dấp-dính không được minh-bạch gẫy gọn.
hàm-mai,"garder le silence, silencieux; silence imposant",含枚,"Là ngậm-tăm, nghiêm-chỉnh, yên-lặng."
hàm-súc,d'inspiration profonde. (Se dit d'une poésie ou d'un morceau littéraire),含蓄,"Mang ngậm ở trong như làm sự gì hay là làm câu văn chương mà có ý tứ sâu xa, không lộ ra ngoài."
hàm-trật,grades dans la hiérarchie des fonctionnaires,銜秩,"Phẩm-hàm trật-thứ thuộc về đằng quan-chức, như nước ta kể tự cửu-phẩm 九 品 đến nhất-phẩm 一 品 đó là hàm-trật các quan."
Hàn Thuyên,,翰詮,"Nguyên tên là Nguyễn Thuyên ở về đời Trần Nhân-tôn, làm đến Hình-bộ thượng-thư. Theo tục truyền khi ấy có con cá xấu vào sông Phú-lương (tức là Nhị-hà) Thuyên làm bài văn nôm để tế, thì con cá ấy đi mất. Vua lấy làm giống việc ông Hàn-Dũ nhà Đường, cho đổi họ là Hàn, bởi vậy sau này ai làm văn thơ nôm đều gọi là Hàn-luật, nghĩa là văn thơ nôm nước ta bắt đầu từ ông Hàn Thuyên."
hạn-định,fixer un délai; réglementer,限定,Định kỳ-hạn nhất-luật phải thế.
hàng-hải,navigation ; transport maritime,航海,"Nghề vượt bể, nghề vận-tải bằng tàu bể."
hằng-hải-học-vấn,"science maritime, science de la navigation",航海學問,Sự học chuyên môn về nghề đi bể.
hành-chính,"administration, administratif",行政,Sự thi-hành việc chính-trị.
hành-động,"agir, action",行動,"Khởi làm, cất lên làm việc gì; vận-động để làm việc."
Hán-học,culture chinoise; étude des lettres chinoises,漢學,"Học Tàu, học chữ nho."
hàn-lệ,"litt. larmes froides: pleurer beaucoup, être baigné de larmes",寒淚,"Nước mắt lạnh, nước mắt chảy nhiều chan chứa."
hàn-mặc,"le pinceau et l'encre; la littérature, les lettres",翰墨,"Ngọn bút thoi mực, là thứ cần dùng của các nhà văn nhân. Dùng rộng nghĩa thì chỉ chung là văn chương."
hàn-ôn,s'informer de la santé de quelqu'un,寒溫,"Ấm hay lạnh, nhời hỏi thăm nhau có mạnh khoẻ không."
hấp-dẫn,"attirer, attraction (comme dans les phénomènes magnétiques)",吸引,"Hút dẫn nhau, vật này có sức hút dẫn vật kia, như đá nam-châm hút sắt."
hậu-thế,les générations futures,後世,Đời sau.
hậu-vận,"l'avenir (d'un pays, d'un homme)",後運,"Cái mạnh-vận về sau, hoặc may, hoặc rủi, hoặc tốt, hoặc xấu."
hệ-luỵ,"ce qui lie, ce qui attache, ce qui entrave notre liberte; soucis",繫累,"Vấn-vít, bận bịu, những truyện làm bận đến mình."
hiềm-kỵ,haine et jalousie,嫌忌,Hằn thù ghen ghét.
hiến-chính,régime constitutionnel,憲政,Việc chính-trị làm theo phép luật như nước lập-hiến 立憲 đặt ra có phép luật chung công việc chính-trị cứ theo đó mà làm.
hiển-đạt,"parvenu aux honneurs, a la gloire, a une haute situation",顯達,"Vẻ vang, hiển hách, sang trọng, làm nên công nghiệp."
hiền-minh-thánh-trí,"clairvoyant comme un sage, intelligent comme un être supérieur (un saint)",賢明聖智,Bậc thánh hiền sáng suốt khôn ngoan.
hiển-nhiên,"clairement, sans équivoque",顯然,Rõ-ràng không có chỗ nào tối-tăm.
hiến-pháp,constitution (loi écrite),憲法,"Phép luật chính-cốt, căn-bản trong một nước."
hiến-pháp,constitution (loi fondamentale d'un pays),憲法,Phép luật chung định việc chính-trị trong một nước.
hiện-tại,présent,現在,"Việc hiện đương có, thuộc về bây giờ."
hiện-tượng,manifestation extérieure (d'un phénomène),現象,Hình tượng phát hiện ra ngoài.
hiện-tượng,ce qui apparaît au dehors; phénomène,現象,Hình-tượng tỏ ra cho người ta thấy.
"hiển-vi, (kinh)",microscope,顯微 (鏡),"Làm cho trông những cái nhỏ rõ ra thành to, cái kinh soi vật nhỏ."
hiếu-cổ,"qui aime l'antiquité, les vestiges antiques",好古,Ham-thích lối xưa.
hiếu-học,qui aime l'étude,好學,Ham học.
hiệu-lực,efficacité,效力,Sức công hiệu.
hiểu-nhiên,"se dit d'une chose qu'on comprend clairement, sur laquelle il n'y a plus de doute",曉然,Biết rõ-ràng không điều gì nghi-ngờ.
hiệu-quả,effet produit; résultat obtenu,效果,"Việc làm đã thành được có công-hiệu, có kết-quả."
hỉ-khúc,"comédie, pièce comique",喜曲,"Là một khúc kịch bản vui vẻ, làm cho hớn hở lòng người."
Hi-lạp,"grèce, người grec, tiếng grec",希臘,"Tiếng tầu dịch tiếng Hellade, tức là nước Grèce, người Grec, tiếng Grec."
hình-thế,configuration géographique d'un pays,形勢,"Cái hình tượng, cái thể thế một xứ."
hình-thức,forme; formalisme; la lettre (par opposition à l'esprit),形式,Hình dáng lề-lối về bề ngoài.
hi-sinh,"victime, sacrifice",犧牲,Chính nghĩa là con vật làm thịt để cúng thần. Dùng rộng ra thì chỉ phàm cái gì phải bỏ hoài đi để vị một nghĩa nhơn.
hoá-công,le créateur; dieu,化工,"Người thợ sinh hoá được vạn-vật, nghĩa bóng là giời làm ra muôn vật."
hoá-giải,analyse chimique,化解,Lấy cách hoá-học mà giải tách ra từng chất một.
hoá-hợp,combinaison (chimique); synthèse chimique,化合,Làm biến-hoá hai thứ hợp lại làm một.
hoài-bão,nourrir des desseins,懷抱,"Bọc, ẵm, nghĩa là cái chí của mình, chứa bọc ở trong bụng."
hoài-cổ,"penser au passé; éprouver un sentiment de mélancolie en pensant au passé, devant un spectacle",懷古,Nhớ đời xưa.
hoài-cựu,penser au passé; regretter le vieux temps,懷舊,"Nhớ ngày xưa, nhớ đời trước, nhớ thói cũ."
hoàn-cầu,"dans le monde, sur toute la terre",環球,"Chung-quanh trên mặt quả đất, nghĩa là các phần đất, các dân các xứ ở trên mặt quả đất."
hoàng-hôn,crépuscule,黃昏,Lúc chạng vạng tối.
hoàng-khảo,le roi père (du roi régnant),皇考,Ông vua cha.
hoàng-kim-thời-đại,âge d'or,黃金時代,"Theo các nhà làm sử cũ là cái thời-đại lúc loài người mới sinh ra trên mặt đất, quanh năm là mùa xuân cả, người ta thật thà hiền lành, chưa biết cái khổ sở là cái gì."
hoàng-lương,songe qui dure moins que la cuisson d'une marmite de millet (allusion à une légende chinoise pour désigner le caractère éphémère des choses humaines),黃梁,"Xem truyện « Giầu sang chưa chín một nồi kê », dịch trên kia (trang 325-327). Hoàng-lương là kê vàng. Người ta thường nói mộng hoàng-lương, là một truyện cũ trong sách tầu nói người nằm ngủ mộng thấy mình được cực giầu sang một đời, tỉnh dậy thì người ta chưa nấu chín nồi kê. Chỉ sự phú quý ở đời không được mấy."
hoàn-hải,le monde entier l'univers,環海,"Khắp cả quanh bốn bể, là khắp thế-giới."
hoàn-vũ,"monde, univers",寰宇,"Gồm giời đất, vũ-trụ."
hoạ-phúc,ce qui arrive en mal et en bien,禍福,"Sự tai vạ sẩy ra, sự phúc lành may mắn."
hoá-tán,décomposition (chimique); analyse chimique,化散,Làm biến-hoá cái nguyên-chất tan ra thành chất khác.
hoạt-động,"vitalité, activité",活動,Sự vận-động hoạt-bát.
học-chính tổng-qui,règlement général de l'instruction publique,學政總規,Phép tắc chung tất cả về việc học.
học-giả,"homme d'étude, savant, érudit",學者,"Người học, người chuyên nghề học, người hay chữ."
học-khoá,matières du programme (scolaire),學課,"Những công-khoá trong nhà trường giờ này phải học môn này, giờ kia phải học môn kia."
học-thuyết,"doctrine (philosophique, etc...); théorie",學説,Những sách vở đặt ra để nói về một môn học nào.
hồ-điệp,le papillon (allusion à une légende chinoise),蝴蝶,"Con bươm bướm. Trang-Chu nằm mộng mình hoá ra con bướm, đó cũng là tỉ đời người, chẳng qua trong một giấc điệp mà thôi."
hội-hoạ,peinture,繪畫,Nghề vẽ hoạ.
hối-lộ,corrompre par des offrandes ou cadeaux; concussion,賄賂,"Đem tiền của hay là lễ vật báu gì giấu giếm đưa đến đút lót cho quan trên, hay là người làm hộ việc cho mình."
hồi-tâm-đoản-khí,désespérance et découragement,灰心短氣,"Lòng sinh ra chán, khí sinh ra kém."
hồi-tưởng,reporter sa pensée vers le passé; se souvenir,回想,"Nghĩ lại, nhớ lại việc cũ."
hội-viên,membre d'une société,會員,Người trong một hội.
hộ-khán,"infirmier, infirmière",護看,Chức trông nom người ốm ở các nhà bệnh-viện. (Tức ta gọi nôm theo tiếng tây là anh-phia-mê).
hồng-di,les peaux-rouges,紅夷,Người mọi da đỏ ở bên châu Mỹ.
hồ-nghi,douter. soupçonner; soupçonneux,狐疑,"Con hồ tính hay nghi ngờ sợ hãi, ví người hay ngờ-vực."
Hồng-Lạc,nom de la première dynastie annamite. par extension: la race annamite,鴻駱,Hồng-bàng-thị sinh ra Lạc-long-quân là tổ nước Nam ta.
hồng-phấn,fard rouge; belle fille,紅粉,"Phấn đỏ, dùng để nói là người con gái."
hồn-nhiên,"naturellement, spontanément, sans effort",渾然,"Tự-nhiên không bận hận, không dụng tâm gì cả."
hỗn-tạp,mêlé; mélanger; désordre,混雜,"Ở lẫn lộn nhau, trộn lẫn lại với nhau."
hợp-đồng,convention,合同,Tờ giao-ước hai bên cùng đảm-nhận với nhau việc gì.
hợp-nghi,"convenable, conforme à la règle",合宜,"Hợp vào cách phải, việc gì làm thế là nên."
hợp-nhất,"unifier, unification",合一,"Họp lại cho được đều nhau, được nhất-luật nhất-trí."
hợp-tung,"s'allier, se réunir en confédération pour lutter contre un ennemi commun",合縱,"Hợp nhau lại mà kết thành một giải dài, là một chước của nhà biện-sĩ tên gọi Tô-Tần 蘇秦 đời Chiến-quốc Tàu đi bảo sáu nước hợp nhau lại làm một mà chống cự với nước Tần. Vì buổi bấy giờ nước Tàu là một nước nhơn, ngoài có sáu nước nhỏ là Hàn 韓, Triệu 趙, Nguỵ 魏, Yên 燕, Tề 齊, Sở 楚, nước Tần 秦 có ý muốn kiêm-tinh dần, nên ông Tô-Tần vị sáu nước kia bày ra mưu ấy."
hợp-ước,accord,合約,Tờ giao-ước hai bên tỏ hợp ý với nhau.
hốt-nhiên,soudain; subitement,忽然,"Đương không vụt có, vụt sẩy ra."
hộ-vệ,"garde de corps (d'un souverain, etc)",護衛,"Đứng hầu gần để canh giữ xung quanh nơi vua ở, quan nhơn đóng."
huân-đào,"former l'esprit, le caractère",薰陶,Hun luyện ; dưỡng thành nhân-tài.
