Việt ngữ,Pháp ngữ,Hán ngữ,Giải nghĩa
bản-chí,notre revue,本誌,Cái tập-chí của chúng tôi.
bán-đảo,"presqu'île, péninsule",半島,Miếng đất to ba bề nước một bề dính với đất liền.
băng-điểm,température de la glace fondante,冰點,"Trong «hàn thử biểu» (thermomètre), chỉ cái độ nước đến đấy thì thành đông, tức là điểm 0."
bàng-thính học-sinh,auditeur libre,傍聽學生,Học-trò không phải chính ở trong trường ấy mà ở ngoài vào học phụ.
ban-hành,"publier, promulguer",頒行,"Ban ra điều-luật gì, hoặc giấy công-văn gì, mà bắt dân phải thi hành theo như thế."
bành-trướng,expansion,澎漲,"Dương rộng ra, phát to ra."
bán-khai,se dit d'une civilisation peu avancée,半開,Là mới văn-minh mở-mang được nửa.
bản-tâm,"intention première, ce qu'on veut au fond du cœur; pensée originelle",本心,Vốn bụng mình định như thế.
bản-thể,"nature intime, essence",本體,Thể-cách bản-nhiên của một sự-vật.
bần-tiện,pauvre et de basse condition; humble,貧賤,Nghèo hèn.
bản-triều,dynastie actuelle,本朝,Triều vua đương bây giờ.
bản-xứ,"notre pays, ce pays; qui appartient au pays; local; indigène",本處,"Xứ nhà, xứ này, xứ sở của mình ở như nước Nam là bản-xứ ta."
bao-biếm,louer et blâmer,褒貶,"Bao là khen người thiện, biếm là chê người ác."
báo-cáo,"rapport, compte-rendu (présenté à l'autorité supérieure)",報告,Lời trình bầy với quan trên.
bảo-cử,"voter, droit de vote",保擧,"Cất đặt, bầu người chức-dịch."
bạo-động,"violence, commettre des violences",暴動,"Dùng cách dữ-tợn, bạo-mạnh."
bảo-hiểm-công-ti,compagnie d'assurance,保險公司,"Hội phải đóng tiền thì được cứu giúp những khi tai nạn: như cháy nhà, đắm tầu, v.v.."
bào-hốt,"la tunique et la tablette (costume de grand mandarin), symbole de la gloire",袍笏,"Áo bào, cái hốt (đồ đại-trào), ý nói nhà làm quan sang trọng."
báo-phục,"venger, vengeance",報復,"Báo lại, trả thù lại kẻ có thù với mình."
báo-quán,bureau de journal,報館,"Nhà làm nhật-trình, chỗ làm nhật-báo."
báo-quốc,servir sa patrie,報國,"Báo đền ơn nước, giả ơn nước, ra sức giúp nước."
bảo-tàng,trésor; biens cachés,寶藏,"Của báu kín không mấy người biết, như của trong đất."
bảo-thủ,"maintenir, conserver la tradition; conservateur (par opposition à tiến-thủ, progressiste)",保守,"Giữ gìn, làm việc gì cũng giữ nền nếp cũ không dám thay đổi, làm việc gì không dám làm bạo, đối với chữ tiến-thủ 進取."
bảo-toàn,conserver intact; sauvegarder,保全,Giữ cho trọn vẹn.
bảo-tồn,"conserver, conservation",保存,Gin giữ cho còn lại.
bào-trạch,"vêtements du guerrier; par extension, le guerrier",袍澤,"Áo bào, áo trạch là thứ áo của quân linh. Kinh Thi có chữ: «Đồng-bào, đồng-trạch» nghĩa là cùng nhau mặc chung áo bào, áo trạch, ở trong chiến-trường."
bá-quyền,"domination, hégémonie",霸權,Nói về một nước hùng-cường muốn chiếm-đoạt mà làm đế-vương nước khác.
bất-bình,"mécontentement, ressentiment, dépit",不平,"Chẳng được bằng phẳng, sự làm cho người ta tức, người ta không được hả lòng."
bất-bình,injuste; mécontent,不平,Không được công-bằng mà phải chịu lấy làm bực-tức.
bất-đắc-dĩ,malgré soi,不得已,"Không đừng được, sự muốn thôi mà phải làm."
bất-đạt,se dit d'un style qui ne rend pas suffisamment la pensée,不達,"Không thông, không rõ, như nhời nói nhời văn không đạt được ý-tưởng."
bất-hủ,"incorruptible, indestructible, capable de se transmettre indéfiniment",不朽,"Không nát, không mọt, có thể lưu truyền mãi."
bất-kinh,"chose incroyable, qui n'a pas été vérifiée par l'expérience",不經,"Việc chưa từng có, chưa kinh-nghiệm bao giờ."
bất-luận,sans parler de; indépendamment de,不論,Không kể đến.
bất-lương,malhonnête; sans conscience,不良,"Người không lành, người ăn ở mất hết lương-tâm."
bất-nguyện,ne pas consentir; ne pas vouloir faire une chose,不願,"Không muốn, không ưng chịu."
bất-quá,tout au plus,不過,Chẳng qua đến thế là cùng.
bất-quyết,irrésolu,不決,Không quyết đoán.
bất-tiện,incommode; inconvenant,不便,Không được tiện.
bất-tiết,"ne pas daigner, ne pas condescendre à",不屑,"Không thèm, không chịu hạ-cố đến."
bất-tiểu,"homme de peu de valeur (litt. qui ne ressemble pas à son père, à son maître)",不肖,"Chẳng giống, người không ra gì, con không được như cha, học trò không như thầy."
bất-trắc,"changeant, instable",不測,"Không lường mà biết được, mỗi lúc một khác."
bất-túc,insuffisant,不足,"Không đủ, thí-dụ thi định lấy một trăm điểm sắp lên thời đỗ mà không đủ số đỗ ấy."
bệnh-học,pathologie,病學,Học khảo-cứu các bệnh-tật.
bi-đát,"émouvant, tragique",悲怛,Buồn thảm.
biếm,"révoquer, rétrograder, blâmer un fonctionnaire",貶,"Giáng chật, cách chức, hay chê bai (một viện quan)."
biên,"confins, limites, région-frontière",邊,Chỗ giáp-danh nước nọ với nước kia.
biện-bác,"discuter, argumenter, critiquer",辯駁,Cãi lễ phải trái mà bác-bẻ nhau.
biện-biệt,"distinguer, discerner",辨別,"Phân biện, chia rẽ ra cho rõ."
biến-hoá,"transformation, changement brusque",變化,"Đương thế này mà biến ra thế khác, đương thế nọ mà hoá ra thế kia."
biền-ngẫu,parallélisme (en composition chinoise),駢偶,Lối làm văn tầu lấy câu cho đối nhau.
biện-sĩ,orateur; maître de la parole,辯士,"Người biện bác, người nói giỏi."
biến-thiên,"changement, transformation",變遷,"Biến-cải, sê-dịch."
biên-thuỳ,"frontières, confins, limites du royaume",邊陲,"Nơi giáp giới, ngoài ven, ngoài bờ nước."
biện-thuyết,discourir; argumenter; discuter,辯說,"Nói biện bác, cãi lẽ cho kỳ được."
biến-trạng,"changement d'état; état anormal, pathologique",變狀,Hình-tượng biến đổi lúc trước thế kia mà bây giờ thế khác.
biểu-diện,"face, apparance, manifestation, extérieur",表面,"Bề ngoài, mặt ngoài, sự phát-hiện ra ngoài."
biểu-đồng-tình,"manifester sa sympathie, son approbation; montrer à quelqu'un qu'on a les mêmes sentiments, la même opinion",表同情,"Tỏ ra cùng một ý với nhau, ở với nhau không khác bụng."
biểu-dương,faire apparaitre; révéler,表揚,Phô bầy ra.
biểu-hiệu,"signe, symbole, représentation extérieure; signal; enseigne",表號,"Dấu hiệu để hình tượng ra ngoài; một cái tiêu biểu ra ở bề ngoài, để làm hiệu cho người ta biết; cái hiệu bày ra ngoài cho thiên-hạ biết, như cái bảng của nhà buôn bày tên hiệu kia hiệu nọ."
biểu-tôn,petit fils (du côté maternel),表孫,"Cháu ngoại, (xưng với ông bà đẻ ra mẹ mình."
bi-hoài,"mélancolie, tristesse",悲懷,Cái lòng sầu não bi thương.
bi-khúc,tragédie; théâtre tragique,悲曲,"Là một khúc kịch bi thương, làm cho não nuột lòng người."
bi-kịch,"drame, tragedie",悲劇,"Cuộc buồn, cuộc thảm. Lối diễn-kịch diễn những sự buồn, sự thảm."
bí-mật ngoại-giao,diplomatie secrète; négociation secrète (entre deux pays),秘密外交,"Việc giao thiệp kín đáo riêng trong hai nước, không cho các nước khác biết."
bình-đẳng,egalité; traiter sur un pied d'égalité,平等,"Ngang hàng, bằng vai với nhau không ai hơn ai kém."
bình-định,pacifier (un pays),平定,Dẹp yên giặc-giã định thiên-hạ.
binh-gia,militaire; spécialiste de l'art militaire; auteur ayant écrit sur la guerre,兵家,"Nhà quân, những người chuyên trị về nghề dụng-binh."
binh-phí,dépenses militaires; crédits de guerre,兵費,Tiền phí tổn về việc binh.
binh-thế,etat des troupes; situation militaire,兵勢,Thế-lực đám lính ấy.
bí-quyết,"secret, énigme",秘訣,Phép bí-mật không ai biết
bí-tàng,"mystère, secret, énigme",秘藏,Điều bi-hiểm không ai biết.
bi-tráng-mãnh-liệt,force et pathétique (se dit d'un style),悲壯猛烈,"Trong một bài văn-chương, hay là bài từ khúc mà nhời nhẽ rất bi thảm, rất khoẻ mạnh, nói rất kịch liệt."
bộc-bạch,"montrer en toute franchise; se montrer tel qu'on est, sans détours",暴白,Phơi bày tỏ cho mọi người đều biết.
bổ-cứu,compléter et rectifier; parfaire; perfectionner; ; combler une lacune,補救,"Chữa cứu, cái gì khuyết hỏng chữa lại cho được trọn vẹn; bổ thêm cái hay sửa bớt cái tệ để chữa lại cho được hoàn-toàn."
bổ-dụng,"nommer, désigner, promouvoir à une fonction",補用,Bổ-dụng đi làm chức này chức kia.
bồi-dưỡng,"cultiver, entretenir",培養,Vun giồng nuôi nấng.
bồi-tuất,indemniser les victimes,賠卹,Bồi thường tiền tuất cho người bị hại.
bổ-khuyết,combler les vides,補缺,Bổ thêm vào những chỗ thiếu.
bôn-ba,"litt. comme une vague courante; courir à la poursuite des honneurs, de la fortune, ou de la gloire; peines pour gagner sa vie",奔波,"Long đong đi kiếm công kiếm việc, theo đuổi vì đường danh lợi (chạy đi luôn như thế là sóng chạy)."
bồng-bột-cao-thăng,développement rapide et intense,蓬勃高昇,"Bay bổng cao vọt lên, ví như sự gì đương hưng vượng tấn tới lên chóng."
bồng-hồ,"séjour des bienheureux, des immortels",蓬壺,Chỗ tiên ở.
bồng-lai,paradis des immortels; îles enchantées,蓬萊,"Núi tiên. Trong sách Sử-ký nói có ba núi tiên : 蓬萊, Phương-trượng 方丈, Doanh-châu 瀛洲, là ba cái đảo ở trong bể Bột-hải 渤海, đấy là chỗ các tiên ở cùng nơi luyện thuốc bất-tử. Các vật cùng các giống cầm-thú đều sắc trắng. Nhà cửa lâu đài thì bằng vàng bạc."
bổ-nhậm,nommer à une fonction,補任,"Bổ dùng đi làm chức khác, cũng như nghĩa bổ-dụng đã thích trên."
bộ-phận,"parties, portions d'un tout",部分,"Trong một việc gì, một cơ-thể gì hay là một bài văn thơ, mà chia ra từng phần, từng bộ riêng một."
bổ-thiên,littéralement: raccommoder la voûte céleste (mythologie chinoise). au figuré: accomplir de grandes choses,補天,"Bà Nữ-oa luyện đá vá giời, mượn dùng ra nghĩa bóng là làm được sự to tát."
bổ-túc,compléter,補足,"Thêm vào cho đủ, thí-dụ đã học rồi mà chưa đủ sức thời học thêm một hạn nữa cho đủ sức về cái môn học ấy."
cách-thức,"forme, modèle; modalité",格式,"Kiểu cách, khuôn mẫu."
cách-trí,etude scientifique de la nature,格致,Là sự học xét biết hết lễ vật để mở rộng cái trí-thức của mình.
cải-cách,réforme,改革,"Đổi cũ thay mới, bỏ những điều tệ trước mà đổi cái mới vào."
cải-lương,"réforme, perfectionnement",改良,Đổi lại cho hay hơn.
cải-lương (đạo),protestantisme,改良道,"Hay là Tân-giáo 新教, là chỉ các phái tôn-giáo mới, về đầu thế-kỷ thứ 16 phân lìa với chính-truyền đạo Thiên-chúa mà lập thành giáo riêng. Xướng ra đạo cải-lương thì ở nước Đức là Luther (tầu dịch là Mã-đinh Lộ-đức) ; ở nước Pháp là Calvin."
cai-quát,embrasser l'ensemble,該括,"Chùm gồm cả, xét chung làm một."
cảm-bội,manifester une profonde reconnaissance; vouer une reconnaissance infinie,感佩,Cảm ơn [...] trong lòng không bao giờ quên.
cảm-giác,"sensation, perception, impression; éprouver un sentiment, une sensation, une impression",感覺,"Sự cảm biết, cảm mà biết, không phải suy nghĩ mà biết; nhân cái gì cảm mà biết, mà suy nghĩ ra."
cầm-hạc tiêu-dao,allusion chinoise désignant un administrateur intègre et lettré,琴鶴逍遙,"Mang đàn giắt hạc thong-thả đi giong chơi mọi chỗ, ông Triệu-Biện 趙 抃 đời Tống 宋 làm Thái-thú Thục-quận 蜀 郡 đi đâu chỉ một con ngựa đem một cái đàn và một con hạc theo, việc cai-trị rất là giản-tỉnh."
cảm-hoá,subir une influence bienfaisante,感化,"Nghe nhời phải, hay thấy việc phải mà sinh bụng cảm rồi hoá theo."
cảm-hứng,"sentiment d'admiration éprouvé devant un paysage, un tableau; inspiration",感興,"Nhân thấy cái cảnh gì, điều gì mà động trong lòng sinh cảm sinh hứng; cái hứng ở trong lòng."
cấm-lệnh,interdiction; embargo,禁令,Hiệu lệnh cấm việc gì. Thường dùng khi một chính-phủ cấm không cho xuất-cảng thứ đồ hàng hoặc sản-vật gì.
cảm-niệm,"sentir et réfléchir; éprouver un sentiment, concevoir une idée",感念,Bụng cảm nghĩ cái gì.
cảm-tình-hồn,psychisme sentimental,感情魂,Phần hồn thuộc về tình cảm.
cẩm-tú,beau (comme une étoffe de brocart),錦繡,"Gấm vóc, nghĩa bóng là cái gì đẹp lắm."
cảm-xúc,"ressentir une impression à la vue d'un spectacle, d'un paysage, etc; ce qu'on pense, ce qu'on éprouve à l'occasion d'une impression extérieure",感觸,"Thấy sự gì vật gì mà sinh cảm, nhân truyện gì mà sinh nghĩ trong bụng."
cảnh-cáo,avertissement,警告,Báo trước cho biết một sự nguy-hiểm.
cảnh-chính,administration de la police,警政,Chính sự thuộc về việc tuần phòng cảnh sát.
can-hệ,"rapport, relation entre deux choses",干係,Việc nọ có dính-dáng quan-hệ với việc kia.
cảnh-huống,circonstances,境況,"Tình-hình, tinh-cảnh lúc làm việc gì."
cảnh-ngộ,"situation, circonstance, cas",境遇,Cái tình-cảnh người ta gập phải.
cảnh-trí,paysage; site,景致,"Phong-cảnh, cảnh mắt trông thấy."
cận-lợi,intérêt immédiat,近利,"Cái lợi gần, lợi trước mắt không phải là lợi lâu dài."
căn-nguyên,"racine, source, origine, fondement",根源,"Gốc, nguồn, cội, rễ muôn việc, việc bởi đó mà sinh ra, cây bởi gốc mà thành, nước bởi nguồn mà có."
cản-phủ,"jugement de l'histoire (expression chinoise faisant allusion à confucius auteur du xuân-thu, le premier livre d'histoire chinois)",袞斧,"Áo cản để thưởng người có công, búa rìu để phạt kẻ có tội, nói ý đức Khổng-tử 孔 子 chép kinh Xuân-thu 春 秋 khen kẻ lành răn kẻ ác cũng như thế."
cân-quắc,"vêtements de femme; la femme, le sexe faible",巾幗,"Một thứ yếm áo riêng của đàn bà mặc. Xưa Tư-mã Ý sợ Khổng-Minh không dám ra đánh, Khổng-Minh đưa đồ cân quắc cho để làm nhục. Dùng rộng nghĩa thì chỉ chung người đàn bà."
cán-sự,"gérant, chargé d'affaires",幹事,Người trông nom coi sóc công việc gì.
cận-thần,fonctionnaire de l'entourage d'un souverain; ministre intime; courtisan,近臣,Bầy tôi hầu gần vua.
cân-thoa,"le foulard et la bague; par extension les femmes, le sexe féminin",巾釵,Cái khăn cái vòng (đồ trang-sức của đàn-bà) dùng để chỉ bọn nữ-lưu.
cao-đẳng-động-vật,animaux supérieurs,高等動物,"Giống động-vật hình-thể gần giống người, đã có trí khôn, như giống vượn. Người ta cũng tức là giống động-vật cao hơn nhất cả."
cao-đẳng-học,enseignement supérieur,高等學,Sự học cao hơn hết các thứ học.
cao-đẳng-học giám-đốc sảnh,direction de l'enseignement supérieur,高等學監督廳,Sở quan chủ việc đi xem xét các trường học cao-đẳng.
cao-đẳng-trung-học,enseignement secondaire supérieur; instruction générale complète,高等中學,Môn trung-học cao hơn trung-học thường.
cao-lương,"mets savoureux, mets de prix",高梁,Những đồ ăn sang trọng.
cao-nguyên,plateau,高原,Cánh đồng ở miền cao.
châm-ngôn,"conseil; devise; formule de conduite; précepte, maxime, règle de conduite",箴言,"Nhời nói khuyên bảo người, hay tự khuyên bảo mình; lời nói để mà cảnh-tỉnh người ta, bảo cho người ta biết răn sợ."
chân-cảnh,"le monde vrai, séjour de bouddha",眞景,"Chỗ phật, cõi thực."
chân-giá-trị,la vraie valeur (valeur non surfaite),眞價值,"Giá-trị thật, giá đáng như thế thật không có sai nhầm."
chấn-hưng,développer; imprimer une impulsion; donner l'essor,振興,"Mở mang công-nghiệp, làm nên công kia việc nọ rất hăng-hái; làm cho động-đạt lên, làm cho hưng thịnh lên."
chân-lạc,"le vrai bonheur, la vraie jouissance",眞樂,"Vui sướng thật, vui về đạo-vị, vui về cảnh-thú riêng của mình."
chân-nhân,homme digne du trône; saint (dans le sens taoïste),眞人,Người đáng làm vua. Người tu-hành đắc-đạo (nhất là về đạo tiên) cũng gọi là chân-nhân.
